Variable,Uref,MaxIndividual_porVel
RootMxb1_[kN-m],16,3591.29412992503
RootMxb1_[kN-m],17,3656.73025646573
RootMxb1_[kN-m],18,3614.40081493343
RootMxb1_[kN-m],19,3737.95841436222
RootMxb1_[kN-m],20,3851.00306415307
RootMxb1_[kN-m],21,4023.76110093966
RootMxb1_[kN-m],22,4076.08822483613
RootMxb1_[kN-m],23,3976.62677656386
RootMxb1_[kN-m],24,4046.20590432081
RootMxb1_[kN-m],25,4087.03687848372
RootMyb1_[kN-m],4,5070.81263529672
RootMyb1_[kN-m],5,6901.58394550857
RootMyb1_[kN-m],6,9213.43742769916
RootMyb1_[kN-m],7,9572.56912359849
RootMyb1_[kN-m],8,10403.1409943742
RootMyb1_[kN-m],9,10895.4846928708
RootMyb1_[kN-m],10,11511.2156273657
RootMyb1_[kN-m],11,11074.3552784371
RootMyb1_[kN-m],12,11229.6404527431
RootMyb1_[kN-m],13,11249.2861410091
RootMyb1_[kN-m],14,10672.1250745569
RootMyb1_[kN-m],15,9857.44171972785
RootMyb1_[kN-m],16,10269.8207881319
RootMyb1_[kN-m],17,9891.09119957623
RootMyb1_[kN-m],18,10023.300838928
RootMyb1_[kN-m],19,10279.7719789791
RootMyb1_[kN-m],20,10369.7429435818
RootMyb1_[kN-m],21,10343.9371428323
RootMyb1_[kN-m],22,10880.4518870502
RootMyb1_[kN-m],23,11275.9058366572
RootMyb1_[kN-m],24,11422.2858174574
RootMyb1_[kN-m],25,11724.4506607359
RotSpeed_[rpm],4,4.84940067683624
RotSpeed_[rpm],5,5.97469456249144
RotSpeed_[rpm],6,7.13693787261267
RotSpeed_[rpm],7,8.3009077439547
RotSpeed_[rpm],8,9.46450959953088
RotSpeed_[rpm],9,10.576249662232
RotSpeed_[rpm],10,11.2954782034801
RotSpeed_[rpm],11,11.6317935023198
RotSpeed_[rpm],12,11.6775361185832
RotSpeed_[rpm],13,11.6948490376068
RotSpeed_[rpm],14,11.6933440631545
RotSpeed_[rpm],15,11.6916236042127
RotSpeed_[rpm],16,11.6880673311062
RotSpeed_[rpm],17,11.6842935222798
RotSpeed_[rpm],18,11.6803388895592
RotSpeed_[rpm],19,11.6736384063548
RotSpeed_[rpm],20,11.6682259432645
RotSpeed_[rpm],21,11.6649259599656
RotSpeed_[rpm],22,11.6702025979828
RotSpeed_[rpm],23,11.6863642323551
RotSpeed_[rpm],24,11.7039504804751
RotSpeed_[rpm],25,11.7193594788076
RotTorq_[kN-m],4,1422.4429321603
RotTorq_[kN-m],5,2054.29867587876
RotTorq_[kN-m],6,2751.57367262632
RotTorq_[kN-m],7,3200.41956524042
RotTorq_[kN-m],8,3403.5671192049
RotTorq_[kN-m],9,3574.17914639773
RotTorq_[kN-m],10,3586.11996788802
RotTorq_[kN-m],11,3647.76331472275
RotTorq_[kN-m],12,3730.73191378591
RotTorq_[kN-m],13,3898.02103105652
RotTorq_[kN-m],14,4046.11982853866
RotTorq_[kN-m],15,4285.67888598285
RotTorq_[kN-m],16,4526.31915978631
RotTorq_[kN-m],17,4581.25328276773
RotTorq_[kN-m],18,4970.83851320412
RotTorq_[kN-m],19,5299.45350498751
RotTorq_[kN-m],20,5537.91610348726
RotTorq_[kN-m],21,5723.24849201205
RotTorq_[kN-m],22,5816.80571847743
RotTorq_[kN-m],23,5992.4156675954
RotTorq_[kN-m],24,5960.53381999418
RotTorq_[kN-m],25,5688.66017737841
TwrBsMxt_[kN-m],4,7941.99747222136
TwrBsMxt_[kN-m],5,17038.7812914477
TwrBsMxt_[kN-m],6,27300.4366023527
TwrBsMxt_[kN-m],7,27593.6246063859
TwrBsMxt_[kN-m],8,24416.6715359879
TwrBsMxt_[kN-m],9,20345.2866820885
TwrBsMxt_[kN-m],10,27687.5667093822
TwrBsMxt_[kN-m],11,19053.4853411498
TwrBsMxt_[kN-m],12,20675.7488383502
TwrBsMxt_[kN-m],13,21780.0267304
TwrBsMxt_[kN-m],14,22474.3629757901
TwrBsMxt_[kN-m],15,25586.47550294
TwrBsMxt_[kN-m],16,27842.9454131567
TwrBsMxt_[kN-m],17,32586.1983262491
TwrBsMxt_[kN-m],18,37892.6060566004
TwrBsMxt_[kN-m],19,53423.8345706212
TwrBsMxt_[kN-m],20,49744.4827967243
TwrBsMxt_[kN-m],21,60240.0297860422
TwrBsMxt_[kN-m],22,62610.3542975154
TwrBsMxt_[kN-m],23,55473.3378165527
TwrBsMxt_[kN-m],24,76977.3980612993
TwrBsMxt_[kN-m],25,76900.5035023791
TwrBsMyt_[kN-m],4,41906.2193006497
TwrBsMyt_[kN-m],5,64251.2608902313
TwrBsMyt_[kN-m],6,73754.5436904633
TwrBsMyt_[kN-m],7,80473.9285391148
TwrBsMyt_[kN-m],8,85061.3693552842
TwrBsMyt_[kN-m],9,88751.2793582069
TwrBsMyt_[kN-m],10,85711.397361213
TwrBsMyt_[kN-m],11,85710.4634526113
TwrBsMyt_[kN-m],12,83704.717651924
TwrBsMyt_[kN-m],13,80782.2718052766
TwrBsMyt_[kN-m],14,78460.9199702117
TwrBsMyt_[kN-m],15,76163.0381176519
TwrBsMyt_[kN-m],16,82142.3243580718
TwrBsMyt_[kN-m],17,81837.6938305952
TwrBsMyt_[kN-m],18,82108.8639336703
TwrBsMyt_[kN-m],19,85872.7553568887
TwrBsMyt_[kN-m],20,88464.3019109989
TwrBsMyt_[kN-m],21,87039.2376241372
TwrBsMyt_[kN-m],22,84753.1748530365
TwrBsMyt_[kN-m],23,91749.4257128663
TwrBsMyt_[kN-m],24,86204.6997439793
TwrBsMyt_[kN-m],25,89060.9787855918
