DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd6,4304.406055086588,3357.414226469506,4338.06314815791,3376.5303230270133,435.00025164274405
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd7,4353.199461632091,3336.6854472042633,4338.06314815791,3376.5303230270133,492.41263194521423
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd8,4344.388374959713,3404.9037772310844,4338.06314815791,3376.5303230270133,516.0073185335128
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd9,4321.157137177309,3374.497829924813,4338.06314815791,3376.5303230270133,523.8369702943822
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd10,4321.728514537852,3519.4214121790965,4338.06314815791,3376.5303230270133,466.2955353782995
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd11,4353.522199576872,3405.4707775176107,4338.06314815791,3376.5303230270133,498.8287123008912
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd12,4310.313818871518,3322.9228411194035,4338.06314815791,3376.5303230270133,466.4511545256447
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd13,4322.650858469136,3287.219502781167,4338.06314815791,3376.5303230270133,448.40113808432864
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd14,4324.668472094567,3310.7083044131127,4338.06314815791,3376.5303230270133,477.1746412543605
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd15,4328.22965088344,3264.7699410179416,4338.06314815791,3376.5303230270133,511.845054258937
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd16,4357.398423552909,3482.167843782516,4338.06314815791,3376.5303230270133,509.98266628848637
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd17,4324.665105796723,3203.8555249718215,4338.06314815791,3376.5303230270133,468.9658439743939
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd18,4339.348912868161,3324.3458805227383,4338.06314815791,3376.5303230270133,490.03192953782263
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd19,4352.990087993064,3427.3392020657816,4338.06314815791,3376.5303230270133,528.9185499049239
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd20,4350.009256426834,3445.541453775097,4338.06314815791,3376.5303230270133,507.62010147091604
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd21,4339.958896235604,3414.2108401573705,4338.06314815791,3376.5303230270133,491.75046580725405
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd22,4360.631317244592,3544.324477449322,4338.06314815791,3376.5303230270133,528.0615197238357
1p2,,,,RootMxb1_[kN-m],,,0.0,5.0,sd23,4332.534896028045,3320.9996142168684,4338.06314815791,3376.5303230270133,458.6031932858675
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd0,4528.812059313356,3608.3165628819743,4485.486599765346,3628.455206076504,869.2578251662139
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd1,4506.606893636051,3727.0592338449082,4485.486599765346,3628.455206076504,885.775872422073
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd2,4457.286192452253,3545.8774135893536,4485.486599765346,3628.455206076504,812.9401473919216
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd3,4485.294456301459,3539.759732543291,4485.486599765346,3628.455206076504,888.3260339735951
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd4,4483.545078575501,3646.7931655874204,4485.486599765346,3628.455206076504,898.8772069661497
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd5,4519.4345589161185,3608.193570161784,4485.486599765346,3628.455206076504,857.583737742754
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd6,4454.821785211222,3697.8556224933436,4485.486599765346,3628.455206076504,754.715482926447
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd7,4517.687158580398,3636.4935936422435,4485.486599765346,3628.455206076504,847.191563780854
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd8,4483.118973612254,3670.8372090134844,4485.486599765346,3628.455206076504,870.0832892930425
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd9,4485.898809501883,3655.092173959478,4485.486599765346,3628.455206076504,880.3605164717148
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd10,4440.96455919791,3578.1144610619917,4485.486599765346,3628.455206076504,797.4241287411407
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd11,4469.779539234901,3551.2639812800253,4485.486599765346,3628.455206076504,850.0834767426502
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd12,4464.775307186194,3742.6310709575373,4485.486599765346,3628.455206076504,806.0147728381927
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd13,4469.712187601046,3461.640279514824,4485.486599765346,3628.455206076504,780.3884120294894
1p2,,,,RootMxb1_[kN-m],,,0.0,6.0,sd14,4494.38091514982,3673.9838818547314,4485.486599765346,3628.455206076504,816.9926784118888
