DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Yaw-seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd15,5973.97668269463,4831.893957206118,5890.907030950849,4831.893957206118,351.0105582434881
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd16,5861.991042311618,4403.152228338874,5890.907030950849,4831.893957206118,365.2723304687013
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd17,5835.915652124808,4462.734278184568,5890.907030950849,4831.893957206118,292.5978220184279
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd18,6006.456894700472,4763.152613544483,5890.907030950849,4831.893957206118,356.95640406341454
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd19,5892.152936533531,4609.486557794587,5890.907030950849,4831.893957206118,393.7438461022644
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd20,5908.855807386773,4485.456150936647,5890.907030950849,4831.893957206118,382.7134894111238
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd21,5855.716592422283,4448.585960724565,5890.907030950849,4831.893957206118,362.26007838360306
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd22,5799.179810540334,4451.324751791859,5890.907030950849,4831.893957206118,350.67648157016674
1p2,,,,RootMxb1_[kN-m],,,,0.0,4.0,sd23,5946.149209326931,4775.580868486644,5890.907030950849,4831.893957206118,323.0754196614864
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd0,6144.528452599215,4711.859528303551,6107.641013290437,5192.560501817285,622.7283765592576
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd1,6168.618038830539,4995.8701373514905,6107.641013290437,5192.560501817285,639.9220269554186
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd2,6106.432072335136,5037.942818159045,6107.641013290437,5192.560501817285,547.9914196673204
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd3,6196.287548122946,5076.7491744402005,6107.641013290437,5192.560501817285,594.6034441074146
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd4,6031.332357985926,4660.902760103028,6107.641013290437,5192.560501817285,635.2752729323068
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd5,6226.204578923302,5054.231156222106,6107.641013290437,5192.560501817285,568.7979414839191
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd6,6010.900696866378,5174.744648653222,6107.641013290437,5192.560501817285,527.2117687461445
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd7,6085.67410371558,4875.018985005288,6107.641013290437,5192.560501817285,610.807573729805
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd8,6124.172832661705,5046.948681724108,6107.641013290437,5192.560501817285,597.2681429745593
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd9,6059.181034839427,4878.519760775214,6107.641013290437,5192.560501817285,582.4750827092969
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd10,6000.354324169964,4749.048785848195,6107.641013290437,5192.560501817285,569.0452649232453
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd11,6024.0283380374685,5192.560501817285,6107.641013290437,5192.560501817285,560.413914790383
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd12,6091.028914471929,4627.263894100763,6107.641013290437,5192.560501817285,520.2040199488856
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd13,6056.71770058844,4714.272826639625,6107.641013290437,5192.560501817285,589.744724335021
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd14,6060.062001222946,4784.565816947726,6107.641013290437,5192.560501817285,548.4844386857279
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd15,6055.610096615857,4610.523064463596,6107.641013290437,5192.560501817285,595.5861654702213
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd16,6204.3317795274,4992.151963972518,6107.641013290437,5192.560501817285,623.095575006292
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd17,6085.869157509283,4878.605363284062,6107.641013290437,5192.560501817285,514.2721863245339
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd18,6177.562557195401,4768.122851551038,6107.641013290437,5192.560501817285,601.9798194979156
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd19,6190.420030679721,5127.316135580931,6107.641013290437,5192.560501817285,661.7904829262736
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd20,6147.944255732118,4889.936074791999,6107.641013290437,5192.560501817285,645.6935023321478
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd21,6106.8478376236335,5038.786560804241,6107.641013290437,5192.560501817285,608.2378187769013
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd22,6051.499466075531,4698.873405407216,6107.641013290437,5192.560501817285,595.0467448524008
1p2,,,,RootMxb1_[kN-m],,,,0.0,5.0,sd23,6105.310450794326,4704.406266286442,6107.641013290437,5192.560501817285,553.3029054437327
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd0,6267.068644069529,5161.647744479302,6359.006316302429,5777.184033972283,976.4095302058598
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd1,6299.474138020728,5160.764167434822,6359.006316302429,5777.184033972283,994.8776822067158
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd2,6256.51317271057,4975.886020247787,6359.006316302429,5777.184033972283,875.5009184849499
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd3,6351.022569730853,5314.887275307732,6359.006316302429,5777.184033972283,944.8135783299573
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd4,6229.907363385449,5158.7208212549285,6359.006316302429,5777.184033972283,976.3389888143122
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd5,6423.743306865688,5320.286656625947,6359.006316302429,5777.184033972283,913.0561383650972
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd6,6412.34454185367,5602.994344313273,6359.006316302429,5777.184033972283,836.361850938315
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd7,6337.036338543554,4944.524776651781,6359.006316302429,5777.184033972283,962.3289960180689
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd8,6402.026844775494,5089.444485002771,6359.006316302429,5777.184033972283,936.5533439370653
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd9,6420.779038529539,5321.073962768997,6359.006316302429,5777.184033972283,924.7380798914705
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd10,6230.878884489395,5023.664189500278,6359.006316302429,5777.184033972283,892.3797694073054
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd11,6405.805593359154,5777.184033972283,6359.006316302429,5777.184033972283,895.21667906674
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd12,6305.482952190329,4839.886103890005,6359.006316302429,5777.184033972283,838.8576822905566
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd13,6486.083996280903,5223.558828636126,6359.006316302429,5777.184033972283,922.4072517954102
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd14,6237.925181239281,5138.714355386006,6359.006316302429,5777.184033972283,876.512161173633
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd15,6330.441163662484,5219.139940930531,6359.006316302429,5777.184033972283,939.5517648788116
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd16,6402.269024205434,5221.143530898306,6359.006316302429,5777.184033972283,979.4618099086541
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd17,6350.159513408737,5358.393644645905,6359.006316302429,5777.184033972283,834.9889578929873
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd18,6308.535900535405,5121.916462498178,6359.006316302429,5777.184033972283,947.3411954023895
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd19,6215.030574081136,4940.742140365116,6359.006316302429,5777.184033972283,1032.0664845105955
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd20,6515.390223046051,5513.645165444424,6359.006316302429,5777.184033972283,1012.0588075909884
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd21,6285.749329491835,5453.221864059225,6359.006316302429,5777.184033972283,950.5177959133382
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd22,6490.966129293482,5508.138525433583,6359.006316302429,5777.184033972283,943.2860980295278
1p2,,,,RootMxb1_[kN-m],,,,0.0,6.0,sd23,6509.153624287303,5250.2706808360435,6359.006316302429,5777.184033972283,882.4282971605685
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd0,6403.119178481242,5146.678092017844,6618.013521427058,6004.186216989591,1444.560374172839
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd1,6626.356466125134,5402.162626909769,6618.013521427058,6004.186216989591,1450.6502798166523
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd2,6654.76718268876,5790.944257006168,6618.013521427058,6004.186216989591,1315.61185560239
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd3,6932.210476008548,5986.298201155073,6618.013521427058,6004.186216989591,1410.1681788138721
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd4,6607.369558500387,5819.169149941916,6618.013521427058,6004.186216989591,1400.4928087835694
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd5,6711.64965854735,5700.33765208984,6618.013521427058,6004.186216989591,1347.7779163346152
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd6,6530.141193604283,5475.9286279308535,6618.013521427058,6004.186216989591,1252.2483585945163
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd7,6530.401248626654,5549.0544873789395,6618.013521427058,6004.186216989591,1427.7400438028142
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd8,6602.102555496594,5681.2181483976165,6618.013521427058,6004.186216989591,1389.9852565020265
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd9,6728.350982060859,5612.846028459806,6618.013521427058,6004.186216989591,1381.284850054221
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd10,6403.769214051431,5235.080513870159,6618.013521427058,6004.186216989591,1305.8966282290558
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd11,6555.532812666188,5951.887335597755,6618.013521427058,6004.186216989591,1330.1051797742173
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd12,6619.238164227655,5329.835069035978,6618.013521427058,6004.186216989591,1270.1912946159034
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd13,6875.114371727255,5900.9958623792545,6618.013521427058,6004.186216989591,1363.8252323110428
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd14,6476.396946416309,5312.841562093305,6618.013521427058,6004.186216989591,1320.1617116314003
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd15,6475.78717587616,5907.911553603695,6618.013521427058,6004.186216989591,1394.3413007590284
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd16,6659.598637533896,5513.0579026952655,6618.013521427058,6004.186216989591,1456.7686962172472
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd17,6576.725205232111,5704.60664718496,6618.013521427058,6004.186216989591,1273.3945969782044
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd18,6678.300185537144,5595.849618352972,6618.013521427058,6004.186216989591,1414.0397727579862
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd19,6543.496183507004,5270.164172880791,6618.013521427058,6004.186216989591,1506.410565459942
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd20,6602.100744406223,5594.338818598711,6618.013521427058,6004.186216989591,1501.6519779865976
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd21,6323.5240384015515,5138.856546180599,6618.013521427058,6004.186216989591,1404.552571541898
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd22,6556.62195216738,5479.169703940956,6618.013521427058,6004.186216989591,1405.1400473339893
1p2,,,,RootMxb1_[kN-m],,,,0.0,7.0,sd23,6825.607424969444,6004.186216989591,6618.013521427058,6004.186216989591,1327.7828882726697
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd0,6701.629563210472,5695.408772784939,6665.920825818419,6198.132751664012,2005.7850645718909
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd1,6662.532841960954,5633.486684565706,6665.920825818419,6198.132751664012,1992.0175998818095
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd2,6646.367849392668,5866.343387852144,6665.920825818419,6198.132751664012,1858.8561775617181
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd3,6753.598859593454,5588.99171080257,6665.920825818419,6198.132751664012,2002.4504190429773
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd4,6535.487397400744,5418.5091660930675,6665.920825818419,6198.132751664012,1904.6634420005255
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd5,6761.486787048118,6198.132751664012,6665.920825818419,6198.132751664012,1874.7192703014966
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd6,6645.407654204239,5717.007936076987,6665.920825818419,6198.132751664012,1767.7930740146103
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd7,6540.928747580227,5662.817761834051,6665.920825818419,6198.132751664012,1990.1742656345345
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd8,6521.70342698015,5205.858729460979,6665.920825818419,6198.132751664012,1925.8516822926579
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd9,6671.380125099886,5628.5932921484,6665.920825818419,6198.132751664012,1936.1707481244014
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd10,6583.448983911628,5704.838955609261,6665.920825818419,6198.132751664012,1789.6713755454061
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd11,6711.849808428355,5372.175628773905,6665.920825818419,6198.132751664012,1853.7068929814702
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd12,6739.375119515195,6091.026479974751,6665.920825818419,6198.132751664012,1800.281701270945
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd13,6874.885666447666,5791.593609224506,6665.920825818419,6198.132751664012,1909.0992748254425
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd14,6513.494341278159,5352.024245050776,6665.920825818419,6198.132751664012,1869.1960168501907
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd15,6782.217065261661,6064.987454558318,6665.920825818419,6198.132751664012,1945.797014695447
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd16,6636.109585059896,5628.045656096258,6665.920825818419,6198.132751664012,2041.7475870327353
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd17,6759.240887206277,5705.315287536193,6665.920825818419,6198.132751664012,1836.9282370867747
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd18,6703.590222352093,5543.650176227765,6665.920825818419,6198.132751664012,2007.8265781213486
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd19,6543.178081853057,5219.093976643019,6665.920825818419,6198.132751664012,2066.1690480236252
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd20,6593.278687071256,5410.864078091135,6665.920825818419,6198.132751664012,2096.1670861322054
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd21,6500.589140957859,5290.946605125342,6665.920825818419,6198.132751664012,1963.113798753808
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd22,6652.07085900572,5821.63016506969,6665.920825818419,6198.132751664012,1984.2204988048763
1p2,,,,RootMxb1_[kN-m],,,,0.0,8.0,sd23,6786.268874623973,5539.5243413518865,6665.920825818419,6198.132751664012,1886.3043253636474
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd0,6609.441250903223,5644.446997572335,6765.9658473005975,6412.090111165533,2626.1999727118846
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd1,6755.228040489644,5554.838558825703,6765.9658473005975,6412.090111165533,2593.167739644569
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd2,6845.945587449767,6279.437234061829,6765.9658473005975,6412.090111165533,2459.610308264647
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd3,6625.326172925251,5422.18966375602,6765.9658473005975,6412.090111165533,2651.3383044248744
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd4,6812.236695223333,5971.1783811396535,6765.9658473005975,6412.090111165533,2474.8211850263565
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd5,6891.310376882769,6067.843366922291,6765.9658473005975,6412.090111165533,2479.4903845621056
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd6,6689.267114429594,5393.390896492796,6765.9658473005975,6412.090111165533,2381.056036632944
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd7,6648.54149440235,5964.207468140296,6765.9658473005975,6412.090111165533,2601.8173703797574
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd8,6676.1006186061795,5608.018266675934,6765.9658473005975,6412.090111165533,2492.3646694832573
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd9,6673.163606002103,5726.416145485154,6765.9658473005975,6412.090111165533,2535.624813799141
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd10,6723.455387688533,5807.693732252149,6765.9658473005975,6412.090111165533,2353.8233497268607
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd11,6748.110687270057,5594.201293806912,6765.9658473005975,6412.090111165533,2438.724835839128
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd12,6728.424156639306,5532.951336944114,6765.9658473005975,6412.090111165533,2417.878772415356
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd13,7065.257651477638,6393.2967551367665,6765.9658473005975,6412.090111165533,2521.8483105757
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd14,6779.683686809763,5832.400572371222,6765.9658473005975,6412.090111165533,2492.5212437033456
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd15,6662.896252528016,5843.527376754307,6765.9658473005975,6412.090111165533,2538.071273716797
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd16,6785.445120619363,5669.031348870169,6765.9658473005975,6412.090111165533,2695.493309645702
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd17,6830.134082044212,5572.328891421973,6765.9658473005975,6412.090111165533,2501.9497124331288
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd18,6960.878168146185,5885.604726260367,6765.9658473005975,6412.090111165533,2697.5729581248493
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd19,6578.476392332353,5498.016454775983,6765.9658473005975,6412.090111165533,2664.356909286888
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd20,6677.948044980727,5832.217225610655,6765.9658473005975,6412.090111165533,2734.280560256868
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd21,6675.98931956658,5746.488688113819,6765.9658473005975,6412.090111165533,2550.8871170626267
1p2,,,,RootMxb1_[kN-m],,,,0.0,9.0,sd22,6814.342835184679,6069.147242729289,6765.9658473005975,6412.090111165533,2601.747765173172
